dataset,stat,kind,season,level_id,pitch_tag,n_players,mu,var_obs,var_within,var_true,var_between,K,n_50,n_70,n_80
hitters,secondary_whiff_pct,rate,2015.0,1,,599,0.3425885920759929,0.0121045857401262,0.0025357604873003,0.0095688252528258,,22.53702180827987,22.53702180827987,52.5863842193197,90.1480872331195
hitters,secondary_whiff_pct,rate,2022.0,1,,603,0.3242644839331791,0.0070744833609654,0.00177217361015,0.0053023097508153,,40.32482610225394,40.32482610225394,94.09126090525918,161.29930440901575
hitters,secondary_whiff_pct,rate,2024.0,14,,286,0.3603947649627103,0.0102273939285493,0.0035818176023906,0.0066455763261586,,33.686288598151705,33.686288598151705,78.60134006235397,134.74515439260682
hitters,secondary_whiff_pct,rate,2018.0,1,,613,0.3495382601886119,0.0117386176354671,0.0025453346518483,0.0091932829836187,,23.73123749786215,23.73123749786215,55.37288749501168,94.9249499914486
hitters,secondary_whiff_pct,rate,2025.0,1,,597,0.3257147521391795,0.0078431826191192,0.0018229953304847,0.0060201872886345,,35.48136542076028,35.48136542076028,82.78985264844064,141.92546168304114
hitters,secondary_whiff_pct,rate,2023.0,1,,600,0.3304813740030051,0.007438481874654,0.0017874633173269,0.0056510185573271,,38.154611367042975,38.154611367042975,89.02742652310027,152.6184454681719
hitters,whiffs_vs_95,rate,2022.0,11,,187,0.2429212414109339,0.0100670396504234,0.0044615083304286,0.0056055313199947,,31.80875645566406,31.80875645566406,74.2204317298828,127.23502582265624
hitters,whiffs_vs_95,rate,2025.0,1,,530,0.2247423066330272,0.0075746498488607,0.0023609578174064,0.0052136920314542,,32.41839164859428,32.41839164859428,75.64291384671999,129.67356659437712
hitters,whiffs_vs_95,rate,2025.0,11,,563,0.2390299363282885,0.0089791966863162,0.0037720520023325,0.0052071446839836,,33.931740311856856,33.931740311856856,79.174060727666,135.72696124742745
hitters,whiffs_vs_95,rate,2023.0,14,,85,0.2688403368226264,0.0111097683630751,0.0064039672690304,0.0047058010940446,,40.7708284288686,40.7708284288686,95.13193300069338,163.0833137154744
hitters,whiffs_vs_95,rate,2022.0,14,,106,0.2990293554364864,0.0130827844141489,0.0066211893255842,0.0064615950885646,,31.439482380237905,31.439482380237905,73.3587922205551,125.75792952095163
hitters,whiffs_vs_95,rate,2022.0,1,,519,0.2338851486610632,0.0079225975899165,0.0024968330958192,0.0054257644940973,,32.02444956683779,32.02444956683779,74.72371565595483,128.09779826735115
hitters,whiffs_vs_95,rate,2018.0,1,,483,0.2260353624138235,0.0087805249734677,0.0025899871890497,0.0061905377844179,,27.25980285470827,27.25980285470827,63.606206660985954,109.03921141883308
hitters,whiffs_vs_95,rate,2019.0,1,,492,0.2440290160472701,0.0097830970832605,0.0028803375499218,0.0069027595333387,,25.7253776527027,25.7253776527027,60.025881189639634,102.90151061081082
hitters,whiffs_vs_95,rate,2023.0,1,,520,0.2340124656042801,0.007097352577132,0.002505088831497,0.004592263745635,,38.03317437210898,38.03317437210898,88.74407353492094,152.13269748843595
hitters,whiffs_vs_95,rate,2023.0,11,,539,0.2478890772938762,0.008999517545236,0.0038253588012221,0.0051741587440139,,35.03292667971647,35.03292667971647,81.7434955860051,140.13170671886587
hitters,whiffs_vs_95,rate,2017.0,1,,471,0.2190339675983003,0.0089410410114521,0.002590940075291,0.006350100936161,,25.93785348550068,25.93785348550068,60.52165813283491,103.75141394200271
hitters,whiffs_vs_95,rate,2015.0,1,,462,0.2121937174314461,0.0078567362881317,0.0026366555876215,0.0052200807005102,,31.02393857584031,31.02393857584031,72.38919001029406,124.09575430336126
hitters,whiffs_vs_95,rate,2025.0,14,,121,0.2753916589563179,0.0123080699350307,0.0061484305987077,0.0061596393363229,,31.39655477178133,31.39655477178133,73.2586278008231,125.58621908712531
hitters,whiffs_vs_95,rate,2024.0,1,,511,0.2287522911773082,0.0066135813065462,0.0023061056629734,0.0043074756435727,,39.95778944721028,39.95778944721028,93.23484204349066,159.83115778884113
hitters,whiffs_vs_95,rate,2024.0,11,,531,0.2534155292236565,0.0100246688658515,0.0041900041804573,0.0058346646853941,,31.426216239223365,31.426216239223365,73.32783789152118,125.70486495689346
hitters,whiffs_vs_95,rate,2020.0,1,,349,0.239368585058996,0.0110375613165948,0.004595087713027,0.0064424736035678,,27.26108056461734,27.26108056461734,63.60918798410713,109.04432225846938
hitters,whiffs_vs_95,rate,2021.0,1,,513,0.2410905491191674,0.0088522303012919,0.002715045153882,0.0061371851474098,,28.8126733754815,28.8126733754815,67.22957120945684,115.250693501926
hitters,whiffs_vs_95,rate,2024.0,14,,118,0.2513820483091533,0.0097634748897579,0.0057418446776992,0.0040216302120587,,45.79423621116875,45.79423621116875,106.85321782606042,183.176944844675
hitters,whiffs_vs_95,rate,2021.0,14,,105,0.3091952813803066,0.0113961148204864,0.006929496729474,0.0044666180910124,,46.819973635588646,46.819973635588646,109.24660514970682,187.27989454235455
hitters,whiffs_vs_95,rate,2016.0,1,,471,0.2159165935273523,0.0081212758308812,0.0026360145114103,0.0054852613194709,,29.863911180666232,29.863911180666232,69.68245942155454,119.45564472266494
hitters,damage_rate,rate,2024.0,14,,264,0.0553463217854165,0.0025833633485346,0.0008851418025629,0.0016982215459716,,29.786976277777946,29.786976277777946,69.50294464814854,119.14790511111178
hitters,damage_rate,rate,2022.0,11,,313,0.0911408730539898,0.0045000927136154,0.0013228464299321,0.0031772462836832,,25.07107127273712,25.07107127273712,58.49916630305328,100.28428509094849
hitters,damage_rate,rate,2016.0,1,,602,0.0781300348578771,0.0038071141528538,0.0008496502025854,0.0029574639502684,,23.35388350361715,23.35388350361715,54.49239484177335,93.4155340144686
